Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
P61289	Proteasome activator complex subunit 3	PSME3	29.506	91.68299999999999	39.8	10	10	16	0.868	0.994	1.166	0.874	3.83E-04
P61313	60S ribosomal protein L15	RPL15	24.146	36.803000000000004	45.6	10	10	15	1.162	0.916	0.886	1.268	8.07E-03
P61326	Protein mago nashi homolog	MAGOH	17.163	71.014	58.9	8	8	15	0.91	0.95	1.15	0.958	1.89E-01
P61353	60S ribosomal protein L27	RPL27	15.798	31.43	49.3	8	8	10	1.59	0.694	0.652	2.29	3.30E-05
P61421	V-type proton ATPase subunit d 1	ATP6V0D1	40.329	19.269000000000002	14.2	5	5	6	1.069	0.923	0.958	1.158	7.30E-02
P61457	Pterin-4-alpha-carbinolamine dehydratase	PCBD1	11.999	1.9117	13.5	1	1	1					
P61513	60S ribosomal protein L37a	RPL37A	10.275	13.839	38.0	3	3	4	1.231	0.844	0.907	1.459	2.92E-02
P61586	Transforming protein RhoA	RHOA	21.768	35.295	35.2	8	4	11	1.054	1.011	0.926	1.043	2.69E-01
P61601	Neurocalcin-delta	NCALD	22.245	2.6630000000000003	13.5	3	1	1					
P61604	10 kDa heat shock protein, mitochondrial	HSPE1	10.932	50.731	82.4	11	11	39	1.258	0.884	0.862	1.423	1.35E-18
P61619	Protein transport protein Sec61 subunit alpha isoform 1	SEC61A1	52.263999999999996	21.715999999999998	13.4	8	8	9	1.28	0.929	0.776	1.378	1.60E-05
P61758	Prefoldin subunit 3	VBP1	22.658	34.977	47.7	11	11	15	0.756	1.093	1.177	0.692	2.76E-05
P61764	Syntaxin-binding protein 1	STXBP1	67.568	51.62	14.1	8	7	7	0.939	1.07	1.046	0.878	4.67E-02
P61769	Beta-2-microglobulin	B2M	13.714	15.107000000000001	25.2	4	4	7	1.126	1.012	0.827	1.113	4.53E-01
P61803	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	DAD1	12.497	3.0516	10.6	1	1	1	1.2	1.024	0.755	1.172	
P61916	Epididymal secretory protein E1	NPC2	16.57	11.860999999999999	23.2	3	3	4	0.997	1.006	0.904	0.991	9.26E-01
P61923	Coatomer subunit zeta-1	COPZ1	20.198	64.762	24.9	4	4	6	0.896	1.164	0.957	0.77	4.58E-04
P61927	60S ribosomal protein L37	RPL37	11.078	7.1598	40.2	5	5	9	1.635	0.744	0.529	2.198	3.92E-10
P61956	Small ubiquitin-related modifier 2	SUMO2	10.870999999999999	22.22	27.4	3	2	4	0.723	1.159	1.18	0.624	1.07E-04
P61960	Ubiquitin-fold modifier 1	UFM1	9.1175	20.896	27.1	2	2	3	0.911	1.086	1.02	0.839	4.29E-02
P61962	DDB1- and CUL4-associated factor 7	DCAF7	38.926	42.606	17.8	5	5	7	0.948	1.023	1.034	0.927	1.54E-01
P61964	WD repeat-containing protein 5	WDR5	36.588	47.41	30.5	9	9	12	1.029	1.037	0.956	0.992	6.63E-01
P61966	AP-1 complex subunit sigma-1A	AP1S1	18.733	2.417	11.4	2	2	3	1.1	1.147	0.744	0.959	4.49E-01
P61970	Nuclear transport factor 2	NUTF2	14.478	32.556999999999995	29.9	3	3	10	0.734	1.261	1.075	0.582	5.01E-09
P61978	Heterogeneous nuclear ribonucleoprotein K	HNRNPK	50.976000000000006	134.72	28.7	13	13	42	1.027	0.962	0.998	1.068	2.21E-01
P61981	14-3-3 protein gamma	YWHAG	28.302	41.44	41.7	12	8	34	0.733	1.12	1.172	0.654	3.51E-08
P62070	Ras-related protein R-Ras2	RRAS2	23.399	51.428000000000004	29.4	5	3	4	1.066	0.899	1.034	1.186	1.92E-02
P62072	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10	10.333	15.374	40.0	4	4	6	1.245	0.848	0.885	1.468	1.48E-04
P62081	40S ribosomal protein S7	RPS7	22.127	31.61	36.6	10	10	20	0.992	1.125	0.88	0.882	1.34E-01
P62136	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	PPP1CA	37.512	6.8861	38.5	12	2	3	0.936	1.092	0.986	0.856	2.85E-01
P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	PPP1CB	37.186	79.145	40.1	12	3	5	0.928	0.954	1.128	0.973	4.07E-01
P62158	Calmodulin	CALM1	16.837	103.47	52.3	6	6	21	0.933	1.054	1.012	0.885	1.96E-05
P62191	26S protease regulatory subunit 4	PSMC1	49.184	163.48	47.5	19	19	40	0.895	1.079	1.062	0.829	1.71E-08
P62195	26S protease regulatory subunit 8	PSMC5	45.626000000000005	155.53	47.8	17	16	25	0.894	1.078	1.045	0.829	9.34E-07
P62241	40S ribosomal protein S8	RPS8	24.205	74.515	46.2	11	11	21	1.445	0.717	0.808	2.015	3.08E-17
P62244	40S ribosomal protein S15a	RPS15A	14.839	26.745	50.0	8	8	21	1.166	0.958	0.808	1.217	2.37E-03
P62249	40S ribosomal protein S16	RPS16	16.445	36.867	50.0	10	10	21	0.954	0.848	1.184	1.126	5.81E-02
P62253	Ubiquitin-conjugating enzyme E2 G1	UBE2G1	19.509	2.2075	7.1	1	1	1					
P62256	Ubiquitin-conjugating enzyme E2 H	UBE2H	20.655	32.082	25.7	4	4	5	0.778	1.26	0.966	0.617	1.02E-04
P62258	14-3-3 protein epsilon	YWHAE	29.174	164.32	69.4	21	19	54	0.821	1.088	1.118	0.755	1.76E-13
P62263	40S ribosomal protein S14	RPS14	16.273	107.1	41.7	8	8	24	1.047	1.012	0.946	1.034	3.87E-02
P62266	40S ribosomal protein S23	RPS23	15.807	21.284000000000002	34.3	6	6	13	1.252	0.88	0.883	1.423	6.93E-04
P62269	40S ribosomal protein S18	RPS18	17.718	24.263	46.1	9	9	20	1.166	0.996	0.838	1.171	5.31E-06
P62273	40S ribosomal protein S29	RPS29	6.6767	9.1757	33.9	2	2	6	1.098	0.98	0.91	1.12	1.06E-01
P62277	40S ribosomal protein S13	RPS13	17.222	44.967	59.6	9	9	21	1.23	0.76	0.945	1.617	1.43E-06
P62280	40S ribosomal protein S11	RPS11	18.430999999999997	75.596	51.3	12	12	21	1.265	0.901	0.842	1.404	1.47E-08
P62304	Small nuclear ribonucleoprotein E	SNRPE	10.802999999999999	10.325	17.4	2	2	5	1.103	0.882	1.025	1.251	8.22E-02
P62310	U6 snRNA-associated Sm-like protein LSm3	LSM3	11.845	5.784	11.8	1	1	2	0.899	1.043	1.078	0.862	2.87E-01
P62312	U6 snRNA-associated Sm-like protein LSm6	LSM6	9.1275	6.7492	25.0	2	2	3	1.11	0.91	0.974	1.219	1.10E-01
P62314	Small nuclear ribonucleoprotein Sm D1	SNRPD1	13.280999999999999	4.6131	10.9	1	1	2					
P62316	Small nuclear ribonucleoprotein Sm D2	SNRPD2	13.527000000000001	93.212	61.9	10	10	24	1.18	0.959	0.81	1.23	4.80E-03
P62318	Small nuclear ribonucleoprotein Sm D3	SNRPD3	13.915999999999999	41.46	31.7	3	3	21	1.14	0.95	0.91	1.201	1.85E-04
P62328	Thymosin beta-4	TMSB4X	5.0526	11.925	56.8	4	3	6	0.695	1.232	1.111	0.564	9.86E-06
P62330	ADP-ribosylation factor 6	ARF6	20.082	12.825	14.9	2	2	3	1.082	1.02	0.91	1.061	1.30E-01
P62333	26S protease regulatory subunit 10B	PSMC6	44.172	138.87	60.9	23	23	39	0.917	1.039	1.027	0.883	2.62E-04
P62424	60S ribosomal protein L7a	RPL7A	29.995	125.01	50.4	14	14	30	1.166	0.799	1.053	1.459	3.84E-08
P62495	Eukaryotic peptide chain release factor subunit 1	ETF1	49.03	86.40899999999999	22.7	9	9	13	0.832	1.109	1.06	0.75	1.43E-05
P62633	Cellular nucleic acid-binding protein	CNBP	19.463	46.7	33.9	5	5	8	0.939	0.869	1.214	1.08	9.92E-01
P62699	Protein yippee-like 5	YPEL5	13.841	7.2987	18.2	2	2	3	1.026	1.002	0.976	1.024	7.81E-01
P62701	40S ribosomal protein S4, X isoform	RPS4X	29.596999999999998	134.2	58.9	19	19	44	1.129	1.038	0.807	1.088	1.55E-03
P62714	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	PPP2CB	35.575	10.93	39.2	11	1	2	0.867	1.012	1.147	0.857	
P62745	Rho-related GTP-binding protein RhoB	RHOB	22.123	8.3277	12.2	2	2	3	1.264	0.938	0.772	1.348	1.68E-02
P62750	60S ribosomal protein L23a	RPL23A	17.695	20.428	32.7	8	8	21	1.238	0.958	0.78	1.292	4.17E-08
P62753	40S ribosomal protein S6	RPS6	28.68	92.586	44.6	16	16	33	1.39	0.662	0.886	2.1	3.82E-15
P62805	Histone H4	HIST1H4A	11.367	82.521	60.2	10	10	61	1.253	0.694	1.006	1.805	5.21E-13
P62820	Ras-related protein Rab-1A	RAB1A	22.677	149.64	57.6	12	5	18	1.256	0.934	0.772	1.345	4.64E-15
P62826	GTP-binding nuclear protein Ran	RAN	24.423000000000002	70.336	40.3	11	11	35	0.761	1.134	1.091	0.671	1.88E-11
P62829	60S ribosomal protein L23	RPL23	14.865	73.288	65.0	8	8	16	1.175	0.952	0.852	1.234	1.57E-06
P62834	Ras-related protein Rap-1A	RAP1A	20.987	10.974	35.9	7	2	2	1.147	0.941	0.902	1.219	
P62841	40S ribosomal protein S15	RPS15	17.04	30.3	26.2	3	3	13	1.187	1.005	0.802	1.181	6.18E-06
P62847	40S ribosomal protein S24	RPS24	15.423	50.895	31.6	6	6	13	1.366	0.86	0.756	1.588	2.82E-07
P62851	40S ribosomal protein S25	RPS25	13.742	8.6089	28.8	4	4	8	1.194	0.978	0.836	1.221	2.99E-01
P62854	40S ribosomal protein S26	RPS26	13.015	11.474	25.2	3	3	5	1.252	0.971	0.702	1.289	1.87E-02
P62857	40S ribosomal protein S28	RPS28	7.8409	53.8	60.9	7	7	15	0.974	1.06	1.03	0.918	4.56E-01
P62861	40S ribosomal protein S30	FAU	6.6478	2.5051	16.9	1	1	1	0.78	1.139	1.114	0.685	
P62873	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	37.376999999999995	62.598	30.6	8	2	5	1.167	0.945	0.873	1.235	3.84E-04
P62875	DNA-directed RNA polymerases I, II, and III subunit RPABC5	POLR2L	7.645	3.5562	29.9	2	2	3	1.09	0.917	0.99	1.189	4.17E-02
P62877	E3 ubiquitin-protein ligase RBX1	RBX1	12.274000000000001	9.1359	13.0	2	2	2	0.808	0.886	1.344	0.912	
P62879	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	37.330999999999996	137.34	30.6	9	3	4	1.068	0.898	0.959	1.189	2.52E-01
P62888	60S ribosomal protein L30	RPL30	12.784	52.608999999999995	40.0	6	6	22	1.048	1.083	0.861	0.968	4.21E-01
P62899	60S ribosomal protein L31	RPL31	14.463	60.702	40.0	7	7	8	1.118	1.039	0.855	1.076	4.17E-01
P62906	60S ribosomal protein L10a	RPL10A	24.831	91.92399999999999	44.7	10	10	18	1.316	0.842	0.808	1.562	4.33E-15
P62910	60S ribosomal protein L32	RPL32	15.86	13.309000000000001	40.0	6	6	13	1.377	0.861	0.71	1.599	3.54E-06
P62913	60S ribosomal protein L11	RPL11	20.252	30.988000000000003	32.6	8	8	15	1.13	1.009	0.826	1.12	4.17E-03
P62917	60S ribosomal protein L8	RPL8	28.024	77.664	43.6	10	10	21	1.372	0.777	0.822	1.766	5.48E-11
P62937	Peptidyl-prolyl cis-trans isomerase A	PPIA	18.012	139.86	78.8	14	14	74	0.731	1.127	1.154	0.649	2.92E-27
P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	FKBP1A	11.950999999999999	53.126000000000005	29.6	3	3	11	0.78	1.156	1.109	0.675	3.35E-06
P62979	Ubiquitin-40S ribosomal protein S27a	RPS27A	17.965	161.23	64.7	11	4	6	0.96	1.061	0.961	0.905	1.19E-01
P62987	Ubiquitin-60S ribosomal protein L40	UBA52	14.728	4.812	55.5	8	1	5	1.288	0.862	0.803	1.494	3.41E-05
P62993	Growth factor receptor-bound protein 2	GRB2	25.206	21.463	30.9	7	7	7	0.935	1.154	0.923	0.81	1.32E-01
P62995	Transformer-2 protein homolog beta	TRA2B	33.665	73.52600000000001	24.7	8	6	13	1.186	0.887	0.886	1.337	2.68E-04
P63000	Ras-related C3 botulinum toxin substrate 1	RAC1	21.45	33.931999999999995	35.9	7	6	9	0.981	1.016	0.962	0.966	4.67E-01
P63010	AP-2 complex subunit beta	AP2B1	104.55	133.24	21.0	19	11	19	0.99	1.03	0.996	0.961	2.33E-02
P63027	Vesicle-associated membrane protein 2	VAMP2	12.663	32.498000000000005	34.5	3	1	2	1.222	0.796	0.964	1.534	4.64E-02
P63092	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS	45.663999999999994	21.473000000000003	21.1	9	8	10	1.099	0.929	0.96	1.183	9.27E-06
P63096	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	40.361	5.9374	19.2	7	2	2	1.133	0.939	0.919	1.207	
P63098	Calcineurin subunit B type 1	PPP3R1	19.3	14.034	18.8	2	2	3	0.933	1.099	0.982	0.849	1.02E-02
P63104	14-3-3 protein zeta/delta	YWHAZ	27.745	174.25	58.0	18	13	38	0.714	1.218	1.12	0.586	5.87E-19
P63146	Ubiquitin-conjugating enzyme E2 B	UBE2B	17.312	5.8947	11.2	1	1	1					
P63151	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	PPP2R2A	51.691	71.29899999999999	30.0	10	10	15	0.825	1.082	1.131	0.762	1.05E-04
P63162	Small nuclear ribonucleoprotein-associated protein N	SNRPN	24.614	39.894	25.0	6	1	1					
P63165	Small ubiquitin-related modifier 1	SUMO1	11.557	5.6716	38.6	5	5	6	0.727	1.118	1.177	0.65	1.10E-02
P63167	Dynein light chain 1, cytoplasmic	DYNLL1	10.366	42.472	51.7	5	4	13	1.054	1.003	0.97	1.051	2.26E-01
P63173	60S ribosomal protein L38	RPL38	8.2178	6.367999999999999	17.1	2	2	3	1.086	0.997	0.913	1.089	3.71E-01
P63208	S-phase kinase-associated protein 1	SKP1	18.658	84.566	53.4	11	11	19	0.778	1.06	1.205	0.735	1.38E-10
P63218	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GNG5	7.3184	5.4584	30.9	3	3	5	1.069	0.982	0.948	1.089	5.31E-02
P63220	40S ribosomal protein S21	RPS21	9.1113	7.459	54.2	4	4	6	1.008	1.024	0.972	0.984	9.69E-01
P63241	Eukaryotic translation initiation factor 5A-1	EIF5A	16.832	34.289	28.6	7	7	19	0.793	1.141	1.048	0.695	3.32E-08
P63244	Guanine nucleotide-binding protein subunit beta-2-like 1	GNB2L1	35.076	133.14	55.5	17	17	38	0.968	1.08	0.948	0.896	1.35E-05
P63272	Transcription elongation factor SPT4	SUPT4H1	13.193	3.5191	13.7	2	2	2	1.051	0.952	0.999	1.105	8.20E-02
P63279	SUMO-conjugating enzyme UBC9	UBE2I	18.007	20.985	34.2	6	6	10	0.815	1.115	1.178	0.731	2.49E-06
P67775	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	PPP2CA	35.594	113.21	41.7	12	2	3	0.737	1.122	1.18	0.657	6.44E-03
P67809	Nuclease-sensitive element-binding protein 1	YBX1	35.924	92.64299999999999	23.8	5	5	15	0.968	1.064	1.002	0.91	4.80E-02
P67812	Signal peptidase complex catalytic subunit SEC11A	SEC11A	20.625	39.896	15.6	5	5	11	1.177	0.944	0.876	1.246	2.23E-02
P67870	Casein kinase II subunit beta	CSNK2B	24.941999999999997	12.866	19.5	3	3	5	0.929	1.048	1.097	0.886	8.13E-01
P67936	Tropomyosin alpha-4 chain	TPM4	28.521	179.43	60.1	26	12	21	0.993	1.014	1.046	0.979	4.65E-01
P68133	Actin, alpha skeletal muscle	ACTA1	42.051	19.077	35.0	17	1	33	1.049	1.022	0.913	1.026	1.76E-01
P68036	Ubiquitin-conjugating enzyme E2 L3	UBE2L3	17.861	17.851	31.2	5	5	10	0.876	1.07	1.113	0.818	1.67E-02
Q5VTE0	Putative elongation factor 1-alpha-like 3	EEF1A1P5	50.184	198.42	43.3	23	12	41	0.761	1.07	1.258	0.711	7.06E-12
P68366	Tubulin alpha-4A chain	TUBA4A	49.924	108.96	53.8	22	4	9	0.734	1.029	1.303	0.713	1.64E-05
P68371	Tubulin beta-4B chain	TUBB4B	49.83	315.14	55.3	20	1	3	0.682	1.185	1.238	0.576	7.52E-04
Q8NEV1	Casein kinase II subunit alpha 3	CSNK2A3	45.218999999999994	28.500999999999998	14.1	4	4	5	1.032	0.93	1.004	1.11	3.29E-02
P68402	Platelet-activating factor acetylhydrolase IB subunit beta	PAFAH1B2	25.569000000000003	4.2753	8.3	1	1	1					
Q71DI3	Histone H3.2	HIST2H3A	15.388	9.1382	20.6	5	2	2	1.501	0.578	0.872	2.596	2.48E-03
P69849	Nodal modulator 3	NOMO3	134.13	32.891	12.4	12	1	1	1.168	1.002	0.814	1.166	
P78310	Coxsackievirus and adenovirus receptor	CXADR	40.029	27.514	13.4	4	4	7	1.159	0.895	0.96	1.295	5.18E-04
P78316	Nucleolar protein 14	NOP14	97.667	17.82	5.8	5	5	7	1.361	0.994	0.588	1.369	8.65E-02
P78318	Immunoglobulin-binding protein 1	IGBP1	39.221	30.678	13.6	5	5	6	0.845	1.09	1.16	0.776	8.57E-01
P78330	Phosphoserine phosphatase	PSPH	25.006999999999998	15.683	12.9	3	3	5	0.786	0.972	1.339	0.809	3.55E-02
P78332	RNA-binding protein 6	RBM6	128.64	17.323	7.6	9	8	8	1.079	0.925	1.016	1.166	4.56E-04
P78344	Eukaryotic translation initiation factor 4 gamma 2	EIF4G2	102.36	129.34	27.0	24	24	35	0.802	1.023	1.135	0.784	1.04E-09
P78345	Ribonuclease P protein subunit p38	RPP38	31.834	8.0643	7.8	2	2	2	1.138	1.094	0.754	1.04	
P78346	Ribonuclease P protein subunit p30	RPP30	29.320999999999998	8.4457	10.1	3	3	5	1.078	0.945	0.971	1.141	1.95E-02
P78347	General transcription factor II-I	GTF2I	112.42	87.51700000000001	26.3	26	26	38	1.075	0.957	0.972	1.123	7.88E-05
P78356	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	PIP4K2B	47.376999999999995	20.172	6.0	2	2	2	0.904	1.075	1.04	0.84	3.95E-01
P78357	Contactin-associated protein 1	CNTNAP1	156.26	10.738	1.4	2	2	2	1.067	0.956	0.977	1.116	
P78362	SRSF protein kinase 2	SRPK2	77.52600000000001	2.1963	1.7	1	1	2					
P78368	Casein kinase I isoform gamma-2	CSNK1G2	47.457	4.5906	7.2	3	2	2	1.088	0.952	0.956	1.143	4.97E-03
P78371	T-complex protein 1 subunit beta	CCT2	57.488	323.31	64.9	32	32	70	0.827	1.067	1.121	0.776	1.97E-23
P78381	UDP-galactose translocator	SLC35A2	41.306999999999995	6.2631	2.8	1	1	2	1.325	0.862	0.779	1.537	
P78406	mRNA export factor	RAE1	40.968	121.06	42.1	15	15	25	1.064	0.95	0.973	1.119	1.69E-03
P78417	Glutathione S-transferase omega-1	GSTO1	27.566	43.79	42.3	14	14	27	0.678	1.222	1.209	0.555	3.67E-10
P78527	DNA-dependent protein kinase catalytic subunit	PRKDC	469.08	323.31	30.3	122	122	175	1.187	0.945	0.88	1.256	3.39E-41
P78537	Biogenesis of lysosome-related organelles complex 1 subunit 1	BLOC1S1	17.262	11.208	14.4	2	2	4	0.916	1.063	1.038	0.861	8.85E-03
P78563	Double-stranded RNA-specific editase 1	ADARB1	80.762	6.6345	4.6	3	3	3	1.25	0.817	0.911	1.53	
P80217	Interferon-induced 35 kDa protein	IFI35	31.546	29.191999999999997	20.3	5	5	6	0.818	1.122	1.062	0.729	5.66E-04
P80303	Nucleobindin-2	NUCB2	50.195	106.33	31.7	14	14	23	1.225	0.983	0.769	1.246	2.43E-09
P80723	Brain acid soluble protein 1	BASP1	22.693	168.57	76.2	18	18	42	1.151	1.013	0.795	1.136	2.95E-07
P82094	TATA element modulatory factor	TMF1	122.84	6.3154	2.5	2	2	3					
P82650	28S ribosomal protein S22, mitochondrial	MRPS22	41.28	65.862	31.1	12	12	21	1.185	0.91	0.883	1.302	7.77E-13
P82663	28S ribosomal protein S25, mitochondrial	MRPS25	20.116	10.232999999999999	27.2	4	4	6	1.03	0.933	1.044	1.103	5.14E-01
P82664	28S ribosomal protein S10, mitochondrial	MRPS10	22.999000000000002	9.6999	6.0	1	1	2	1.184	0.918	0.882	1.29	1.07E-01
P82673	28S ribosomal protein S35, mitochondrial	MRPS35	36.844	27.023000000000003	24.5	7	7	16	1.252	0.879	0.865	1.424	3.47E-09
P82675	28S ribosomal protein S5, mitochondrial	MRPS5	48.006	31.638	16.7	8	8	11	1.339	0.98	0.637	1.367	5.22E-03
P82909	28S ribosomal protein S36, mitochondrial	MRPS36	11.466	38.038000000000004	41.7	4	4	8	1.209	0.9	0.902	1.343	4.91E-08
P82912	28S ribosomal protein S11, mitochondrial	MRPS11	20.616	22.025	22.2	3	3	3	1.096	0.986	0.912	1.111	5.89E-02
P82914	28S ribosomal protein S15, mitochondrial	MRPS15	29.842	10.446	21.8	6	6	7	1.276	0.825	0.882	1.547	6.85E-05
P82921	28S ribosomal protein S21, mitochondrial	MRPS21	10.741	34.895	32.2	3	3	5	1.376	0.807	0.778	1.706	1.82E-04
P82930	28S ribosomal protein S34, mitochondrial	MRPS34	25.65	19.886	35.3	6	6	7	1.342	0.838	0.785	1.6	1.17E-02
P82932	28S ribosomal protein S6, mitochondrial	MRPS6	14.225999999999999	4.1141	22.4	3	3	3	1.18	0.988	0.814	1.195	1.16E-01
P82933	28S ribosomal protein S9, mitochondrial	MRPS9	45.833999999999996	60.255	23.2	9	9	14	1.206	0.834	0.843	1.446	1.46E-06
P82970	High mobility group nucleosome-binding domain-containing protein 5	HMGN5	31.524	-2.0	2.8	1	1	1					
P82979	SAP domain-containing ribonucleoprotein	SARNP	23.671	82.62700000000001	56.2	11	11	17	1.082	0.903	0.942	1.198	7.94E-07
P83111	Serine beta-lactamase-like protein LACTB, mitochondrial	LACTB	60.693000000000005	29.761	14.8	7	7	9	1.269	0.858	0.87	1.478	6.71E-05
P83436	Conserved oligomeric Golgi complex subunit 7	COG7	86.34299999999999	15.594000000000001	5.5	4	4	4	1.053	1.13	0.814	0.932	
P83731	60S ribosomal protein L24	RPL24	17.779	38.236	43.9	10	10	20	1.318	0.683	1.034	1.932	1.96E-06
P83876	Thioredoxin-like protein 4A	TXNL4A	16.785999999999998	1.5011	4.9	1	1	2					
P83881	60S ribosomal protein L36a	RPL36A	12.440999999999999	18.96	35.8	8	2	4	1.638	0.617	0.675	2.655	2.79E-03
P83916	Chromobox protein homolog 1	CBX1	21.418000000000003	20.204	22.7	5	4	6	1.117	0.932	0.97	1.198	5.22E-02
P84085	ADP-ribosylation factor 5	ARF5	20.529	21.668000000000003	45.0	8	5	7	0.936	1.082	0.997	0.865	3.49E-03
P84090	Enhancer of rudimentary homolog	ERH	12.259	68.12100000000001	49.0	6	6	22	1.144	0.889	0.95	1.286	2.67E-10
P84095	Rho-related GTP-binding protein RhoG	RHOG	21.308000000000003	75.59100000000001	40.8	7	6	9	1.084	0.906	0.996	1.196	1.21E-03
P84098	60S ribosomal protein L19	RPL19	23.465999999999998	76.995	26.5	8	8	18	1.501	0.547	0.928	2.744	2.21E-07
P84101	Small EDRK-rich factor 2	SERF2	6.8998	9.7347	32.2	3	3	5	0.992	1.095	0.918	0.906	3.55E-01
P84103	Serine/arginine-rich splicing factor 3	SRSF3	19.329	77.627	39.0	8	7	13	1.16	0.849	0.966	1.366	1.50E-06
P84157	Matrix-remodeling-associated protein 7	MXRA7	21.465999999999998	1.567	3.9	1	1	1					
P84243	Histone H3.3	H3F3A	15.328	3.3336	20.6	5	2	3	1.18	0.777	1.032	1.519	
P85037	Forkhead box protein K1	FOXK1	75.456	4.4163	3.5	3	3	4	0.664	1.328	1.053	0.499	1.67E-01
P86791	Vacuolar fusion protein CCZ1 homolog	CCZ1	55.86600000000001	18.364	7.7	3	3	4	0.944	1.031	1.039	0.916	
P98082	Disabled homolog 2	DAB2	82.447	240.23	30.1	16	16	30	0.904	1.148	0.942	0.788	9.27E-08
P98155	Very low-density lipoprotein receptor	VLDLR	96.098	10.967	3.6	3	3	3	1.209	1.005	0.764	1.203	4.51E-02
P98160	Basement membrane-specific heparan sulfate proteoglycan core protein	HSPG2	468.83	15.379000000000001	2.1	7	7	7	0.922	0.972	1.03	0.948	4.61E-01
P98170	E3 ubiquitin-protein ligase XIAP	XIAP	56.684	12.004000000000001	7.4	3	3	3	0.817	1.17	1.041	0.698	
P98173	Protein FAM3A	FAM3A	25.151999999999997	3.1235	7.0	2	2	2	1.101	0.94	0.954	1.171	
P98175	RNA-binding protein 10	RBM10	103.53	127.1	15.2	13	11	17	1.102	0.932	0.977	1.182	1.03E-05
P98179	Putative RNA-binding protein 3	RBM3	17.17	33.32	35.0	5	5	9	0.987	1.124	0.918	0.878	3.04E-01
P98194	Calcium-transporting ATPase type 2C member 1	ATP2C1	100.58	41.645	7.5	6	6	6	1.222	0.905	0.861	1.351	7.37E-05
P99999	Cytochrome c	CYCS	11.749	82.786	62.9	8	8	19	1.075	0.964	0.965	1.116	1.06E-02
Q00013	55 kDa erythrocyte membrane protein	MPP1	52.29600000000001	11.675999999999998	7.7	3	3	4	0.876	1.043	1.104	0.839	3.11E-01
Q00059	Transcription factor A, mitochondrial	TFAM	29.096	55.45	37.4	11	11	17	1.309	0.781	0.909	1.676	4.00E-07
Q00169	Phosphatidylinositol transfer protein alpha isoform	PITPNA	31.805999999999997	49.083999999999996	39.6	11	9	10	0.662	1.124	1.265	0.589	4.43E-06
Q00325	Phosphate carrier protein, mitochondrial	SLC25A3	40.094	47.912	24.0	10	10	17	1.233	0.872	0.789	1.413	1.97E-08
Q00341	Vigilin	HDLBP	141.45	185.42	24.1	29	29	43	1.0	1.109	0.916	0.902	2.77E-03
Q00403	Transcription initiation factor IIB	GTF2B	34.833	19.523	7.9	2	2	2	0.845	1.138	1.042	0.743	
Q00534	Cyclin-dependent kinase 6	CDK6	36.938	6.8838	10.7	3	2	2	0.854	1.012	1.161	0.844	
Q00535	Cyclin-dependent-like kinase 5	CDK5	33.304	12.592	23.3	7	6	7	0.75	1.2	1.085	0.625	7.65E-03
Q00536	Cyclin-dependent kinase 16	CDK16	55.715	33.556	17.9	8	7	7	1.246	1.014	0.714	1.228	4.67E-01
Q00577	Transcriptional activator protein Pur-alpha	PURA	34.91	49.871	20.5	4	4	5	1.042	0.947	1.005	1.1	2.66E-01
Q00587	Cdc42 effector protein 1	CDC42EP1	40.294000000000004	8.2609	9.5	4	3	3	0.822	1.096	1.111	0.751	5.32E-03
Q00610	Clathrin heavy chain 1	CLTC	191.61	323.31	32.5	49	38	79	0.995	1.01	0.987	0.985	2.77E-01
Q00613	Heat shock factor protein 1	HSF1	57.26	30.631999999999998	6.2	3	3	3	0.938	1.075	1.001	0.873	
Q00653	Nuclear factor NF-kappa-B p100 subunit	NFKB2	96.74799999999999	95.82799999999999	18.2	16	15	20	0.829	1.151	1.046	0.721	6.17E-07
Q00688	Peptidyl-prolyl cis-trans isomerase FKBP3	FKBP3	25.177	34.118	24.1	6	6	13	0.925	1.025	0.991	0.902	2.78E-02
Q00765	Receptor expression-enhancing protein 5	REEP5	21.493000000000002	7.03	15.3	4	4	5	1.279	0.84	0.855	1.523	
Q00796	Sorbitol dehydrogenase	SORD	38.324	64.77199999999999	23.0	8	8	13	0.778	1.036	1.195	0.751	1.30E-03
